iter	Passed	Remaining
470	741	832
471	742	830
472	744	829
473	745	827
474	747	825
475	749	825
476	751	824
477	753	822
478	755	821
479	756	819
480	758	818
481	759	816
482	761	814
483	762	813
484	764	811
485	766	810
486	767	808
487	769	807
488	770	805
489	772	804
490	774	802
491	775	800
492	776	798
493	778	797
494	780	795
495	781	794
496	783	793
497	785	791
498	786	790
499	788	788
500	790	787
501	792	786
502	793	784
503	795	782
504	796	780
505	798	779
506	799	777
507	800	775
508	802	773
509	803	772
510	804	770
511	806	768
512	807	766
513	808	764
514	810	763
515	811	761
516	813	759
517	815	758
518	816	756
519	817	754
520	819	753
521	821	752
522	822	750
523	824	748
524	825	746
525	827	745
526	829	744
527	830	742
528	832	740
529	833	739
530	835	737
531	836	735
532	837	734
533	839	732
534	840	730
535	842	728
536	843	727
537	845	725
538	846	724
539	848	722
540	849	720
541	850	718
542	852	717
543	853	715
544	855	714
545	857	712
546	859	711
547	860	709
548	862	708
549	863	706
550	864	704
551	866	703
552	867	701
553	869	699
554	871	698
555	872	696
556	873	694
557	875	693
558	876	691
559	878	690
560	879	688
561	881	686
562	882	685
563	884	683
564	885	681
565	887	680
566	888	678
567	890	677
568	891	675
569	893	674
570	894	672
571	896	671
572	898	669
573	899	667
574	901	666
575	903	665
576	905	663
577	907	662
578	908	660
579	910	659
580	911	657
581	912	655
582	913	653
583	915	652
584	917	650
585	918	649
586	920	647
587	921	645
588	923	644
589	925	643
590	926	641
591	928	639
592	929	638
593	931	636
594	933	635
595	935	633
596	936	632
597	937	630
598	939	628
599	941	627
600	942	625
601	944	624
602	945	622
603	947	621
604	948	619
605	950	617
606	952	616
607	954	615
608	955	613
609	957	612
610	959	610
611	961	609
612	962	607
613	963	606
614	965	604
615	967	602
616	968	601
617	969	599
618	971	598
619	973	596
620	974	594
621	977	593
622	978	592
623	980	590
624	981	588
625	983	587
626	985	586
627	987	584
628	988	583
629	990	581
630	991	579
631	992	578
632	994	576
633	995	574
634	996	573
635	998	571
636	999	569
637	1000	567
638	1001	566
639	1003	564
640	1005	563
641	1007	561
642	1008	560
643	1010	558
644	1012	557
645	1013	555
646	1014	553
647	1016	552
648	1017	550
649	1019	548
650	1020	547
651	1021	545
652	1022	543
653	1024	541
654	1025	540
655	1027	538
656	1028	536
657	1029	535
658	1031	533
659	1033	532
660	1034	530
661	1036	529
662	1037	527
663	1039	526
664	1041	524
665	1042	522
666	1043	521
667	1045	519
668	1046	517
669	1047	516
670	1049	514
671	1051	513
672	1053	511
673	1055	510
674	1056	508
675	1058	507
676	1059	505
677	1060	503
678	1062	502
679	1063	500
680	1065	499
681	1066	497
682	1068	495
683	1069	494
684	1070	492
685	1071	490
686	1073	489
687	1075	487
688	1077	486
689	1079	484
690	1080	483
691	1082	481
692	1083	479
693	1084	478
694	1086	476
695	1087	474
696	1088	473
697	1090	471
698	1091	470
699	1094	468
700	1095	467
701	1097	465
702	1099	464
703	1100	462
704	1102	461
705	1104	459
706	1105	458
707	1107	456
708	1109	455
709	1110	453
710	1112	452
711	1114	450
712	1115	449
713	1117	447
714	1118	445
715	1119	444
716	1121	442
717	1123	441
718	1124	439
719	1125	437
720	1126	436
721	1128	434
722	1130	433
723	1132	431
724	1134	430
725	1136	429
726	1139	428
727	1142	426
728	1144	425
729	1146	424
730	1147	422
731	1149	420
732	1151	419
733	1153	418
734	1154	416
735	1157	415
736	1159	413
737	1161	412
738	1163	410
739	1165	409
740	1167	407
741	1168	406
742	1170	404
743	1171	403
744	1173	401
745	1174	400
746	1177	398
747	1178	396
748	1179	395
749	1181	393
750	1182	392
751	1183	390
752	1185	388
753	1186	387
754	1187	385
755	1189	383
756	1190	382
757	1193	380
758	1194	379
759	1196	377
760	1197	376
761	1198	374
762	1200	372
763	1201	371
764	1202	369
765	1203	367
766	1205	366
767	1206	364
768	1208	362
769	1209	361
770	1211	359
771	1212	358
772	1214	356
773	1215	355
774	1217	353
775	1218	351
776	1219	350
777	1221	348
778	1223	347
779	1224	345
780	1226	343
781	1227	342
782	1229	340
783	1231	339
784	1232	337
785	1233	335
786	1235	334
787	1236	332
788	1238	331
789	1240	329
790	1241	328
791	1243	326
792	1244	324
793	1246	323
794	1247	321
795	1249	320
796	1250	318
797	1253	317
798	1255	315
799	1256	314
800	1258	312
801	1260	311
802	1261	309
803	1263	308
804	1265	306
805	1267	304
806	1268	303
807	1269	301
808	1271	300
809	1272	298
810	1273	296
811	1275	295
812	1277	293
813	1279	292
814	1280	290
815	1282	289
816	1283	287
817	1285	285
818	1287	284
819	1288	282
820	1289	281
821	1291	279
822	1292	278
823	1294	276
824	1295	274
825	1296	273
826	1298	271
827	1299	269
828	1300	268
829	1302	266
830	1304	265
831	1305	263
832	1306	262
833	1308	260
834	1309	258
835	1310	257
836	1312	255
837	1313	253
838	1315	252
839	1317	250
840	1319	249
841	1320	247
842	1321	246
843	1323	244
844	1325	243
845	1327	241
846	1328	240
847	1330	238
848	1332	236
849	1334	235
850	1335	233
851	1337	232
852	1338	230
853	1339	229
854	1341	227
855	1343	225
856	1344	224
857	1345	222
858	1346	221
859	1348	219
860	1349	217
861	1351	216
862	1353	214
863	1354	213
864	1356	211
865	1358	210
866	1360	208
867	1361	207
868	1362	205
869	1364	203
870	1365	202
871	1367	200
872	1368	199
873	1370	197
874	1371	195
875	1372	194
876	1374	192
877	1376	191
878	1377	189
879	1378	188
880	1380	186
881	1381	184
882	1382	183
883	1383	181
884	1385	180
885	1386	178
886	1388	176
887	1389	175
888	1392	173
889	1393	172
890	1395	170
891	1396	169
892	1398	167
893	1399	165
894	1401	164
895	1402	162
896	1404	161
897	1406	159
898	1407	158
899	1408	156
900	1410	154
901	1412	153
902	1413	151
903	1415	150
904	1417	148
905	1418	147
906	1420	145
907	1422	144
908	1423	142
909	1425	140
910	1426	139
911	1427	137
912	1430	136
913	1431	134
914	1433	133
915	1435	131
916	1436	130
917	1437	128
918	1439	126
919	1440	125
920	1442	123
921	1443	122
922	1444	120
923	1446	118
924	1447	117
925	1449	115
926	1450	114
927	1452	112
928	1454	111
929	1455	109
930	1457	107
931	1458	106
932	1460	104
933	1461	103
934	1463	101
935	1464	100
936	1466	98
937	1468	97
938	1470	95
939	1472	93
940	1473	92
941	1475	90
942	1478	89
943	1479	87
944	1481	86
945	1483	84
946	1485	83
947	1486	81
948	1488	79
949	1489	78
950	1490	76
951	1491	75
952	1493	73
953	1495	72
954	1496	70
955	1498	68
956	1499	67
957	1501	65
958	1503	64
959	1504	62
960	1506	61
961	1507	59
962	1509	57
963	1510	56
964	1512	54
965	1513	53
966	1514	51
967	1515	50
968	1517	48
969	1519	46
970	1520	45
971	1522	43
972	1524	42
973	1525	40
974	1526	39
975	1528	37
976	1529	36
977	1531	34
978	1532	32
979	1534	31
980	1535	29
981	1536	28
982	1538	26
983	1539	25
984	1541	23
985	1542	21
986	1543	20
987	1545	18
988	1547	17
989	1548	15
990	1550	14
991	1551	12
992	1552	10
993	1554	9
994	1555	7
995	1557	6
996	1559	4
997	1560	3
998	1561	1
999	1563	0
